id,title,organization,type,topic,page_url,direct_download_url,priority,download_status,use_when,evidence
SRC-001,특허로 특허출원가이드,지식재산처/특허로,공식 웹 안내,"출원 전 선행기술조사, 사용자등록, 명세서/서식 작성, 제출, 수수료, 심사청구, 등록료 납부",https://patent.go.kr/smart/jsp/ka/menu/guide/main/GuideMain0207.do,,필수,웹 원문 링크 제공,처음 특허 출원을 준비할 때 전체 절차 확인,"출원서류 작성 순서, 제출서류, 수수료, 출원공개 18개월, 심사청구 3년 등 안내"
SRC-002,특허고객번호부여신청,지식재산처/특허로,공식 온라인 신청 페이지,특허고객번호 발급 및 필요 서류,https://patent.go.kr/smart/jsp/ka/prestep/codeapp/CodeAppView.do,,필수,웹 원문 링크 제공,출원인 번호가 없을 때,출원인은 절차 전 특허고객번호를 사전에 부여받아야 하며 인감/서명 파일 등 필요
SRC-003,인증서 사용등록,지식재산처/특허로,공식 온라인 신청 페이지,공동인증서 등록,https://patent.go.kr/smart/jsp/ka/pki/kipocertmgr/KCertMgrView.do,,필수,웹 원문 링크 제공,전자출원 전 공동인증서 등록이 필요할 때,특허고객번호 발급 후 특허고객/대리인번호로 로그인해 인증서를 등록
SRC-004,수수료정보안내,지식재산처/특허로,공식 웹 안내,"출원료, 심사청구료, 등록료, 감면 대상",https://www.patent.go.kr/smart/jsp/ka/menu/fee/main/FeeMain01.do,,필수,웹 원문 링크 제공,"출원/심사청구/등록 비용 계산, 감면 여부 확인",감면 대상 수수료와 감면율 및 증명서류 안내
SRC-005,특허의 이해,지식재산처,공식 제도 안내,"특허요건, 출원/심사/거절/등록 흐름, 심판",https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200111,,필수,웹 원문 링크 제공,특허제도 전체와 거절결정 후 절차를 이해할 때,"특허결정, 설정등록, 거절결정, 거절결정불복심판 등 정의와 흐름 안내"
SRC-006,특허·실용신안 심사기준 2026.03.12,지식재산처,공식 PDF/심사기준,"특허출원, 특허요건, 명세서 보정, 심사절차, 특수출원, 포지티브 심사기준",https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200146,https://www.kipo.go.kr/ko/kpoContFileDown.do?fileNum=1&seq=30,필수,직접 다운로드 시도 실패: 원문 다운로드 링크 제공,청구항/명세서가 심사에서 어떻게 판단되는지 확인할 때,2026.03.12 기준 PDF 전문 다운로드 제공
SRC-007,기술분야별 심사실무가이드 2026.03,지식재산처,공식 PDF/심사실무가이드,"AI, IoT, 바이오, 의약, 로봇, 자율주행, 3D 프린팅, 반도체 등 분야별 심사 실무",https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200147,https://www.kipo.go.kr/ko/kpoContFileDown.do?fileNum=2&seq=30,권장,직접 다운로드 시도 실패: 원문 다운로드 링크 제공,내 발명이 특정 기술분야에 속할 때 심사 포인트 확인,2026.03 기준 기술분야별 PDF 전문 다운로드 제공
SRC-008,출원방식심사기준,지식재산처,공식 PDF/방식심사기준,"제출 서식, 방식요건, 절차상 흠결 대응",https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0201119,https://www.kipo.go.kr/ko/kpoContFileDown.do?fileNum=12&seq=30,권장,직접 다운로드 시도 실패: 원문 다운로드 링크 제공,서식·첨부서류·절차 오류를 줄이고 싶을 때,지식재산 심사 기준/매뉴얼 페이지에서 출원방식심사기준 제공
SRC-009,보정안 리뷰,지식재산처,공식 제도 안내,거절이유 대응 전 심사관과 보정안 검토,https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200117,,실패/거절 대응 필수,웹 원문 링크 제공,거절이유통지 후 의견서/보정서 제출 전 보정방향을 점검할 때,최종 보정서 제출 전 심사관과 보정안 의견을 교환하는 제도 및 절차 안내
SRC-010,특허심판원 심판수수료/심판 종류,특허심판원/지식재산처,공식 웹 안내,"거절결정불복심판, 보정각하결정불복심판 등 심판 절차 비용",https://www.kipo.go.kr/ipt/iptContentView.do?menuCd=SCD0400083,,실패/거절 대응 필수,웹 원문 링크 제공,거절결정 후 불복심판을 검토할 때,특허·실용신안 거절결정불복심판 및 보정각하결정불복심판 청구료 안내
