id,keywords
1,"호텔 고객관리, 숙박 관리, 체크인·체크아웃, 사인패드 결제, 청구서 보관"
2,"간접 광고, 의류 비즈니스, 3D 아바타, 신체 정보, 착용 적합성"
3,"모바일 패션 앨범, 사용자 제작 콘텐츠, 아바타 영상, 패션 아이템, 이동통신 단말"
4,"온라인 본인확인, 실명 인증, 개인정보 기반 인증, 회원가입 인증, 인증 서버"
5,"아바타 패션자문, 패션 코디네이션, 이동통신 단말, 패션 아이템, 실시간 자문"
6,"아바타 카드전송, 3차원 스캔, 메시지 카드, 이동통신망, 개인화 카드"
7,"전자상거래, 아바타 결제, 카드 인증, 인증 서버, 전자결제 보안"
8,"인터넷 쇼핑몰, 아바타 인증, 회원가입 로그인, 개인정보 보호, 인증 서버"
9,"3차원 아바타, 엔터테인먼트 장치, 배경화면 정합, 사용자 스캔, 영상 합성"
10,"체형 관리, 3D 아바타, 신체 치수, 목표 아바타, 체형 변화 추적"
11,"디지털 홈쇼핑, 아바타 영상, 방송 아이템, 3D 상품 데이터, 착용 시뮬레이션"
12,"생체정보 인증, 사용자 인증, 전자금융거래, 비밀키 획득, 전자결제 서명"
13,"OTP 인증, 다중 등록, 전자금융거래, 인증장치 관리, 보안 인증"
14,"내비게이션 고속모드, 고속도로 안내, IC·JC 출구, 휴게소 정보, 차량 위치"
15,"필기 메시지, 이동통신단말, 터치스크린 입력, 멀티미디어 메시지, 필기 이미지"
16,"차량 내비게이션, 지도 심벌, 주행 경로, 주변 정보, 시각 인지"
17,"영상 통화, 이미지 콘텐츠, 촬영 영상 합성, 콘텐츠 유형, 모바일 통화"
18,"의류 착용 적합성, 의류 비즈니스, 신체 정보, 의복압, 온라인 의류 서비스"
19,"열차 통합 운영, 마이크로웨이브 통신, 승강장 영상, 장비 감시, 종합사령실"
20,"열차 양방향 통신, 마이크로웨이브, 부가서비스, 열차 운행 정보, 객차 영상"
21,"NFC 오디오, 등시성 데이터, 실시간 재생, 비휘발성 메모리, NFC 카드"
22,"USB 저장장치, 멀티 파티션, 파티션 숨김, 파티션 표시, 호스트 명령"
23,"프로젝트 생산성, 업무분류체계, 산출물 관리, 개발 생산성, 프로젝트 관리"
24,"프로젝트 진척관리, 업무분류체계, 진척율 산출, 가중치 관리, 테스트 진척"
25,"휴대 단말, 위치정보 서비스, 지도 데이터, 단말 간 위치 전송, 관리 서버"
26,"차량 내비게이션, 혼잡 도로, 주행 안내, 혼잡 영역, 2D·3D 지도"
27,"차량 내비게이션, 심볼 정보, 3D 랜드마크, 표출 조건, 사용자 인터페이스"
28,"주유소 정보, 차량 내비게이션, TPEG, 연료 가격, 주변 주유소"
29,"열차 제어, 무선 LAN, 자동 열차 운행, 차상 장치, 지상 장치"
30,"병렬 처리, 지형모델, 영상 데이터, 단위 영역, 모델 갱신"
31,"디지털 표면 모델, 병렬 처리, 레퍼런스 영상, 높이값 산출, DSM 생성"
32,"카메라 자세 추정, 촬영화상, 타이포인트 추출, 자세 보정, 정밀 위치결정"
33,"디지털 고도모델, 디지털 표면모델, 마스크 데이터, 구조물 제거, 지형 판정"
34,"소셜 네트워크 분석, SNS 데이터, 사용자 관계, 네트워크 지표, 서비스 분석"
35,"SNS 마케팅, 소셜 네트워크, 마케팅 대상, 사용자 영향력, 광고 서비스"
36,"시스템 자동 감사, 감사 항목, 자체 감사, 감사 로그, 자동 감사 시스템"
37,"비밀키 생성, 전자장치 보안, 구성 소자, 난수 생성, 키 관리"
38,"CBAC, 접근 제어, 보안 규칙, 서브젝트 조건, SAC 규칙"
39,"원격 검침, 펌웨어 업데이트, 검침 장치, 원격 제어, 업데이트 관리"
40,"데이터 변조, 테스트 데이터, 개인정보 보호, 데이터 마스킹, 보안 처리"
